Gene	Filter development - 0h	Filter development - 1h	Filter development - 2h	Filter development - 3h	Filter development - 4h	Filter development - 5h	Filter development - 6h	Filter development - 7h	Filter development - 8h	Filter development - 9h	Filter development - 10h	Filter development - 11h	Filter development - 12h	Filter development - 14h	Filter development - 16h	Filter development - 18h	Filter development - 20h	Filter development - 22h	Filter development - 24h
DDB_G0279397	1.97810607618	0.924920505162	2.21823813049	2.59343437238	2.45679357807	1.62583768952	0.931936096922	0.658960192724	1.25177982764	1.28233753372	1.36889732006	0.787976776777	1.29574993718	0.998641169425	1.43093381823	0.507670696612	0.527393432016	0.397109486156	1.36547846957
DDB_G0279399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.309662882988	0.0	0.0	0.0	0.0	0.238015619717	0.0	0.0	0.0	0.0
DDB_G0279403	186.738735022	110.750162517	95.1865943419	145.379097457	127.828392476	93.1329790496	83.6747548617	63.7360573301	55.7995576909	49.6440912703	37.9141440934	37.5399690872	29.098521007	22.9116701656	15.1866691479	11.253192829	9.83453263342	10.8454766543	14.4405458698
DDB_G0279405	23.9667069297	20.5896603422	24.0106679767	33.7666242974	36.8519550761	52.4426331392	58.3724851019	53.4681529003	62.8874884503	80.567160429	90.5128762157	92.3472696316	76.6526335104	72.7675346855	71.1912767083	39.3852406774	50.9120977102	60.346472619	70.2315387264
DDB_G0279407	1348.38293193	1819.44266051	2154.62901206	1903.9279881	1592.6315657	1119.48057178	805.763197189	1304.01090948	1133.42876015	1035.40003801	1431.75540283	1897.19490542	802.78266433	795.650575077	798.891826149	566.991554868	588.524663799	704.31712905	636.702830701
DDB_G0279409	27.1507767094	15.7710811361	20.915887871	37.4037532788	35.9551397174	30.5467647629	23.8661615796	19.1416181889	28.603384755	29.8937061937	50.4765630868	51.8003818671	34.5956848319	46.7270016894	45.978327862	32.1850332417	37.9612433048	35.8094986051	44.6724767202
DDB_G0279411	2954.81147447	1663.30473567	1527.16552727	1718.31632679	1375.40838985	1092.15701737	444.60466993	494.515492842	813.151632448	668.778452566	705.941944667	696.222941119	832.905896196	910.390618727	987.384828142	625.54028424	368.521856493	298.867962966	381.025149613
DDB_G0279413	47.3928246642	72.9322823291	81.2801942796	95.3224146428	139.938989823	265.506348241	300.656906875	392.710466603	347.822243401	399.183510176	404.229717812	522.541602128	535.807737287	561.034569633	570.67052047	478.758783672	569.71442015	640.292225363	424.981439845
DDB_G0279415	2360.49870275	6034.71933521	8863.18732152	7123.33599234	6168.25480614	4788.35089523	3916.73394054	2827.22771374	2158.9976583	2373.52589404	3168.67245558	3664.82613064	1037.6207622	967.684507231	950.850781651	441.208417538	344.512800844	336.963863264	386.531488554
DDB_G0279417	8.86410812737	10.5441089482	9.86246113952	13.6909894187	10.4626443054	8.65440597096	4.83440622333	5.43301457359	7.57882053199	9.19567356915	12.2332031676	15.9371195525	28.9157309564	21.0995120169	25.9608684854	21.0283219297	29.2270839576	24.9485138305	29.409605849
DDB_G0279419	13.7764844906	9.80118722232	12.123957795	10.7443569001	20.0411454317	20.2838887083	19.4428998722	9.04605935805	11.3442012938	11.2747426267	12.3094447644	11.1570406013	22.5902242412	16.0821809034	12.9010992305	16.2842687394	21.2658645637	23.5537827349	31.4631256789
DDB_G0279421	6.65103787335	6.30297091172	7.52321925457	10.1566251654	9.91980173153	9.22224202189	11.9693934533	7.70920439774	18.0476429206	12.8235696296	10.6750041448	17.3102405582	16.2716887119	16.0506716763	17.125831822	28.9998670872	32.463790629	52.9849146079	50.6244760188
DDB_G0279425	18.8632957818	31.8884803895	37.0583957895	39.8536358316	54.0723652096	80.2335421372	85.8968710508	89.6953738897	103.223078203	132.262946472	140.531180732	126.347393775	139.181810902	118.797991998	118.365075789	168.174145039	287.413566061	255.137692192	226.287200647
DDB_G0279427	41.5248601407	35.0951218449	45.4983136454	67.1469657207	56.370774895	47.9401556095	34.8930208343	52.1815302835	66.6645284036	70.8217442238	62.1412282014	76.0660700378	74.6454323489	55.7286844889	51.1972264396	26.7570205718	25.7093027678	33.5563021317	85.6637717106
DDB_G0279429	13.8222669082	2.21652881966	5.74437939342	11.2489459415	16.5395374297	27.1953798372	37.1120573669	35.1732417819	41.4553604961	43.6637852973	34.9385138105	24.5404819724	26.1281459791	18.1279735883	16.2330085003	43.0394523256	95.1526493626	120.515340357	137.676443581
DDB_G0279431	0.321605741937	0.203019083122	0.120884341382	0.0	0.194005422038	0.42157948518	0.501603804747	0.434228357829	0.743810896675	2.99785609408	3.49153064799	6.72274813598	23.2920009042	31.6333833585	35.4116648669	44.8621163076	30.3331765144	25.1263567383	19.4361338385
DDB_G0279433	175.536958714	49.6381357954	37.8754534381	40.1077006291	38.4808471114	32.9288370801	29.3527536217	37.1404337595	56.7462254412	43.3389042692	40.9929821113	47.2424080688	54.8400155774	50.2205016762	57.9366553904	46.6798369477	40.5890174591	38.9068672482	33.1569672692
DDB_G0279435	25.4866835319	3.42164238678	4.18573574747	9.60606165213	7.02423189215	5.76179374819	3.53628063853	4.46839120512	6.15048224314	6.49600047077	5.72445896926	5.9237651446	14.8337709582	27.990751291	32.89938847	110.148914114	90.5453596866	65.9572925809	43.0603271553
DDB_G0279437	81.2028568755	50.1838405745	84.4311517636	64.3572419293	65.31093569	39.8958955452	26.3806934037	51.2147355994	50.356860766	42.2306576073	29.1624356991	24.0180857269	20.3794241161	16.9399640602	17.0222626069	23.3578545072	21.4750377268	19.184435645	19.0052763878
DDB_G0279439	16.0980708597	16.7212331787	20.3457827835	26.8348264548	33.2400790077	45.2311765238	28.8490736658	30.7020737097	45.8586407561	42.8731835452	50.7350851802	33.6973345788	70.4050778041	55.5057977152	55.4045667119	60.5454284415	73.8045361452	36.1899903213	61.5110887132
DDB_G0279441	7.16066169445	4.61995552934	4.28161541554	6.03741581334	5.77728396195	4.7604641176	2.96806003048	4.59045643069	7.13741430536	8.81403001461	8.77094770119	8.25705984379	9.86454593707	9.86994276862	11.3127655394	8.40911156313	9.78998797712	6.75419541071	7.52615277341
DDB_G0279443	56.7117269002	39.1849705907	65.7655494266	73.1516008406	59.3160260156	45.1822207892	35.2519422932	68.111152892	75.2989911434	80.4433426626	83.4634807242	100.322309423	78.8407550048	76.5214636873	90.1310222407	55.747526248	45.552022224	44.3112756049	44.3066481365
DDB_G0279445	3.01242628927	2.54640543556	3.60382099204	6.11283296848	4.05077660031	3.41271826238	2.76450988076	3.65744272948	5.82199323336	7.36285924903	11.5645055132	8.95697771892	14.6629348537	18.8987091685	28.4446120089	22.2773114972	19.2276134642	16.4394682806	11.063745005
DDB_G0279447	9.70861044404	0.246680950244	1.67836710081	0.595963803931	1.43179639636	0.0	0.218820153523	0.57118413595	4.54619621095	0.573662679884	2.96747864369	0.928434393207	4.15361418976	3.25141693759	2.71468112926	1.32031423773	2.94284609727	4.59178815517	1.93834799911
DDB_G0279449	38.2402444249	37.8233728866	59.9818934612	53.1909157256	52.1382326368	45.6275403434	77.8544269474	81.1915536697	87.2146000171	85.0652045129	84.5721403814	64.3461234007	82.6401532143	59.8419483194	55.0573740694	16.4435110751	12.3099530248	9.85335145439	19.9808810237
DDB_G0279451	46.5161221459	15.4001917747	19.0896909674	25.5969414034	25.7610943469	23.0419467683	13.9636019256	32.6188309023	35.7315982307	27.7494889332	24.2393941729	30.0435917081	26.1464142629	21.842834046	24.5172429057	9.72481775889	6.00691839639	5.78339155812	7.96595773061
DDB_G0279453	0.98671699201	0.545019463107	0.959653964622	1.28806536871	1.14466351277	1.35996384907	1.01793366777	1.73451982922	2.56008106947	3.45004845001	3.69505565622	3.55669650759	7.46931716909	4.86518688459	5.45515501978	3.31368550665	2.40587748717	1.70514830932	2.86026725502
DDB_G0279455	0.0	0.484040931078	0.769305067189	0.0	0.46827737155	0.439360388637	0.865832339123	0.783609322124	0.608370913486	3.36414374135	3.53706460517	6.17186456187	16.3416828001	39.0943601774	60.2086093437	64.1493901526	71.6056083885	74.4617016965	43.2698520241
